gene,evidence_tier,modality,tractability_bucket,supported,drug_or_clinical_candidate_count,source,retrieval_date
SLAMF9,Inflammatory_polyneuropathy,OC,Approved Drug,false,0,https://platform.opentargets.org/target/ENSG00000162723,2026-08-31
SLAMF9,Inflammatory_polyneuropathy,OC,Advanced Clinical,false,0,https://platform.opentargets.org/target/ENSG00000162723,2026-08-31
SLAMF9,Inflammatory_polyneuropathy,OC,Phase 1 Clinical,false,0,https://platform.opentargets.org/target/ENSG00000162723,2026-08-31
TMEM175,Inflammatory_polyneuropathy,SM,Approved Drug,false,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,SM,Advanced Clinical,false,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,SM,Phase 1 Clinical,false,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,SM,Structure with Ligand,true,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,SM,High-Quality Ligand,false,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,SM,High-Quality Pocket,false,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,SM,Med-Quality Pocket,false,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,SM,Druggable Family,false,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,AB,Approved Drug,false,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,AB,Advanced Clinical,false,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,AB,Phase 1 Clinical,false,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,AB,UniProt loc high conf,true,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,AB,GO CC high conf,false,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,AB,UniProt loc med conf,false,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,AB,UniProt SigP or TMHMM,true,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,AB,GO CC med conf,false,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,AB,Human Protein Atlas loc,false,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,PR,Approved Drug,false,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,PR,Advanced Clinical,false,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,PR,Phase 1 Clinical,false,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,PR,Literature,false,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,PR,UniProt Ubiquitination,false,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,PR,Database Ubiquitination,false,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,PR,Half-life Data,true,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,PR,Small Molecule Binder,false,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,OC,Approved Drug,false,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,OC,Advanced Clinical,false,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
TMEM175,Inflammatory_polyneuropathy,OC,Phase 1 Clinical,false,0,https://platform.opentargets.org/target/ENSG00000127419,2026-08-31
DCTN1,Inflammatory_polyneuropathy,SM,Approved Drug,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,SM,Advanced Clinical,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,SM,Phase 1 Clinical,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,SM,Structure with Ligand,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,SM,High-Quality Ligand,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,SM,High-Quality Pocket,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,SM,Med-Quality Pocket,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,SM,Druggable Family,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,AB,Approved Drug,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,AB,Advanced Clinical,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,AB,Phase 1 Clinical,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,AB,UniProt loc high conf,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,AB,GO CC high conf,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,AB,UniProt loc med conf,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,AB,UniProt SigP or TMHMM,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,AB,GO CC med conf,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,AB,Human Protein Atlas loc,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,PR,Approved Drug,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,PR,Advanced Clinical,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,PR,Phase 1 Clinical,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,PR,Literature,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,PR,UniProt Ubiquitination,true,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,PR,Database Ubiquitination,true,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,PR,Half-life Data,true,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,PR,Small Molecule Binder,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,OC,Approved Drug,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,OC,Advanced Clinical,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
DCTN1,Inflammatory_polyneuropathy,OC,Phase 1 Clinical,false,0,https://platform.opentargets.org/target/ENSG00000204843,2026-08-31
ME1,Inflammatory_polyneuropathy,SM,Approved Drug,false,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,SM,Advanced Clinical,false,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,SM,Phase 1 Clinical,false,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,SM,Structure with Ligand,true,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,SM,High-Quality Ligand,true,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,SM,High-Quality Pocket,true,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,SM,Med-Quality Pocket,false,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,SM,Druggable Family,true,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,AB,Approved Drug,false,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,AB,Advanced Clinical,false,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,AB,Phase 1 Clinical,false,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,AB,UniProt loc high conf,false,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,AB,GO CC high conf,false,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,AB,UniProt loc med conf,false,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,AB,UniProt SigP or TMHMM,false,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,AB,GO CC med conf,false,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,AB,Human Protein Atlas loc,false,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,PR,Approved Drug,false,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,PR,Advanced Clinical,false,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,PR,Phase 1 Clinical,false,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,PR,Literature,false,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,PR,UniProt Ubiquitination,false,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,PR,Database Ubiquitination,true,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,PR,Half-life Data,true,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,PR,Small Molecule Binder,true,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,OC,Approved Drug,false,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,OC,Advanced Clinical,false,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
ME1,Inflammatory_polyneuropathy,OC,Phase 1 Clinical,false,0,https://platform.opentargets.org/target/ENSG00000065833,2026-08-31
